
(-42.59825897216797, -7.288549900054932, 0.0, 1100, 1472, 1655, 1100)
(-42.482120513916016, -6.9270830154418945, 0.0, 1100, 1465, 1662, 1100)
(-42.45572280883789, -7.1901679039001465, 0.0, 1100, 1467, 1660, 1100)
(-42.217708587646484, -7.086022853851318, 0.0, 1100, 1470, 1657, 1100)
(-42.224510192871094, -7.260049819946289, 0.0, 1100, 1475, 1652, 1100)
(-42.017635345458984, -7.361591339111328, 0.0, 1100, 1470, 1657, 1100)
(-41.762916564941406, -7.437368392944336, 0.0, 1100, 1466, 1661, 1100)
(-41.57538986206055, -7.36766242980957, 0.0, 1100, 1465, 1662, 1100)
(-41.57469177246094, -7.413496494293213, 0.0, 1100, 1466, 1663, 1100)
(-41.24713897705078, -7.143669128417969, 0.0, 1100, 1471, 1656, 1100)
(-41.24822235107422, -7.301572799682617, 0.0, 1100, 1453, 1674, 1100)
(-41.31422424316406, -7.427027702331543, 0.0, 1100, 1461, 1666, 1100)
(-41.496089935302734, -7.294842720031738, 0.0, 1100, 1462, 1665, 1100)
(-41.46391296386719, -7.07806921005249, 0.0, 1100, 1467, 1662, 1100)
(-41.630126953125, -7.379878520965576, 0.0, 1100, 1452, 1675, 1100)
(-41.66408920288086, -7.428821086883545, 0.0, 1100, 1469, 1658, 1100)
(-41.77079391479492, -7.490602970123291, 0.0, 1100, 1452, 1673, 1100)
(-41.78086471557617, -7.557865619659424, 0.0, 1100, 1458, 1669, 1100)
(-41.884239196777344, -7.439698219299316, 0.0, 1100, 1461, 1668, 1100)
(-42.094337463378906, -7.211747646331787, 0.0, 1100, 1457, 1670, 1100)
(-42.195186614990234, -7.113054275512695, 0.0, 1100, 1454, 1673, 1100)
(-42.10161590576172, -7.532811641693115, 0.0, 1100, 1460, 1667, 1100)
(-41.915103912353516, -7.428316116333008, 0.0, 1100, 1450, 1677, 1100)
(-41.86920166015625, -7.064170837402344, 0.0, 1100, 1448, 1679, 1100)
(-41.80949020385742, -7.30448579788208, 0.0, 1100, 1450, 1675, 1100)
(-41.94513702392578, -7.511847972869873, 0.0, 1100, 1449, 1678, 1100)
(-42.298667907714844, -7.7449469566345215, 0.0, 1100, 1448, 1679, 1100)
(-42.461700439453125, -7.705959320068359, 0.0, 1100, 1453, 1672, 1100)
(-42.363502502441406, -7.581155300140381, 0.0, 1100, 1456, 1669, 1100)
(-42.194007873535156, -7.493809223175049, 0.0, 1100, 1452, 1675, 1100)
(-42.177005767822266, -7.3727498054504395, 0.0, 1100, 1449, 1678, 1100)
(-42.34201431274414, -7.404818534851074, 0.0, 1100, 1447, 1680, 1100)
(-42.488304138183594, -7.770787715911865, 0.0, 1100, 1440, 1687, 1100)
(-42.63749313354492, -8.041266441345215, 0.0, 1100, 1436, 1689, 1100)
(-43.19755554199219, -7.962198734283447, 0.0, 1100, 1446, 1681, 1100)
(-43.60221862792969, -7.492659091949463, 0.0, 1100, 1451, 1676, 1100)
(-43.3493537902832, -7.307852745056152, 0.0, 1100, 1451, 1676, 1100)
(-43.111968994140625, -7.429482460021973, 0.0, 1100, 1447, 1682, 1100)
(-42.974430084228516, -7.476495742797852, 0.0, 1100, 1440, 1687, 1100)
(-43.015846252441406, -7.639143466949463, 0.0, 1100, 1442, 1685, 1100)
(-43.096431732177734, -7.66220760345459, 0.0, 1100, 1444, 1683, 1100)
